,Type,District,Storage name,Address,Manager Name,Mobile No,Capacity in MT
0,Cold Storages,Ahmednagar,Trimurti Foodtech Pvt Ltd,,Mr Atul Banginwar,,2500.0
1,Cold Storages,Akola,"Abdul Raheman Sk. Subhan,Dabki","Gno-115,At Dabki,Tq:Akola",,,948.0
2,Cold Storages,Akola,Anant Nagri Credit Co-Op Society Ltd.,"Risod, Old Cotton Market",,,994.98
3,Cold Storages,Akola,Anant Shriram Kangate,Ghusar,,,100.0
4,Cold Storages,Akola,Annapurna Grameena Godown,Takai (B.K.),,,500.0
5,Cold Storages,Akola,Ashok Dinkarrao Pagrut,Aliyabad,,,100.0
6,Cold Storages,Akola,Ashok Jagannath Rathod,Vallabhnagar,,,108.0
7,Cold Storages,Akola,Ashok Ramratan Jaiswal,Shelu Bazaar,,,100.0
8,Cold Storages,Akola,Ashok Vishwasrao Adhao,Jamthi,,,100.0
9,Cold Storages,Akola,Ashok Yashwant NalIndividual E,Alegaon,,,205.0
10,Cold Storages,Akola,Ashokappa Fakirappa Punewar,Poha,,,100.0
11,Cold Storages,Akola,Atmaram Pundalik Pande,Dhanakwadi,,,101.0
12,Cold Storages,Akola,Avinash Dadarao Kangte,Akola,,,100.0
13,Cold Storages,Akola,Babarao Ramchandra Chopde,Ghusar,,,100.0
14,Cold Storages,Akola,Balakrishna R.Kalhatkar,Murtizapur,,,100.0
15,Cold Storages,Akola,Bhaskar Vishwanath Pagrut,Ghusar,,,100.0
16,Cold Storages,Akola,Bhimrao Bhaurao Wasu,Lotkhed,,,101.606
17,Cold Storages,Akola,Buldana Co-Operative Credit Society Ltd. (Br.Hiwarkhed),"Sr. No.80/1(Part),At Hiwarkhed,Tq.Telhara",,,3985.14
18,Cold Storages,Akola,Buldana Co-Operative Credit Society Ltd. (Br.Telhara),"Sr. No.55/1,At Thar,Tq.Telhara",,,3976.25
19,Cold Storages,Akola,Buldhana Urban Co-Op Credit Society Ltd,"GUT NO 80/1 AT HIWARKHED TQ TELHAR ,DIST.AKOLAI",,,7638.0
20,Cold Storages,Akola,Dadarao K. Janunkar & 2,"Mahan, Tq: Barshitikali",,,165.0
21,Cold Storages,Akola,Dadarao Vishwanath Kangte,Ghusar,,,301.0
22,Cold Storages,Akola,Dattatray Vasantrao Bhise,Barshitakli,,,100.0
23,Cold Storages,Akola,Deepak Sheshrao Gawande,"At: Mouje Bahirkhed, Post: Dahigaon Gawande, Tal & Dist: Akola",,,103.59
24,Cold Storages,Akola,Devidas Ganpat Misal,Mohari,,,108.0
25,Cold Storages,Akola,Dinesh Tryambak Pogrut,Kharap Bk.,,,100.0
26,Cold Storages,Akola,Dinkar Mahadeo Pagrut,Aliyabad,,,100.0
27,Cold Storages,Akola,Dr. Satish K Baheti,Medshi,,,299.0
28,Cold Storages,Akola,Gajanan S Pagrut,Aliyabad,,,107.0
29,Cold Storages,Akola,Gajanan Sheshrao Dod,Ghusar,,,100.0
30,Cold Storages,Akola,Gajanan Waman Pagrut,Ghusar,,,100.0
31,Cold Storages,Akola,Ganesh Baburao Jadhav,Poha,,,100.0
32,Cold Storages,Akola,Ganesh Bhikaji Pagrut,Akola,,,100.0
33,Cold Storages,Akola,Ganesh Vitthalrao Khadse,Ghusar,,,100.0
34,Cold Storages,Akola,GovIndividual Rao Tukaramji Kushade,Poha,,,100.0
35,Cold Storages,Akola,Gunawant Babarao Wakode,Ghusar,,,100.0
36,Cold Storages,Akola,H B Wakude,Akola,,,100.0
37,Cold Storages,Akola,Haridas Shyamrao Yawatkar,Kanheri Sarup,,,275.0
38,Cold Storages,Akola,Janrao Ramrao Pogrut,Ghusar,,,100.0
39,Cold Storages,Akola,Laxmi Godowns ( Sh. Chetan Amrutlal Sejpal),"F.S.No.17/5,Wadli Satwai,Tq:Akot",,,915.516
40,Cold Storages,Akola,"Laxmi Warehouse(Prop.Yeshwin Amrutlal Sejpal),Akot","Fsno-17/5,At Akot,Tq:Akot",,,850.0
41,Cold Storages,Akola,M/S APMC Telhara,Adsul,,,207.0
42,Cold Storages,Akola,M/S Bhagwati Ware House (Prop: Nanachand Sohanlal Agrawal),"S No. 59, Plot No. 1, Mouza: Gadegaon, At Po: Telhara, Dist: Akola",,,222.86
43,Cold Storages,Akola,"M/S Dayal Warehouse, At Babhulgaon","At Babhulgaon,Tq: Babhulgaon",,,1000.0
44,Cold Storages,Akola,M/S Devgiri Udyog (Prop.V.N.Goenka),"M-75,Growth Centre,MIDC,Akola",,,2226.66
45,Cold Storages,Akola,M/S Devgiri Udyog (Prop.V.N.Goenka),"M-75,Growth Centre,MIDC,Akola",,,2226.66
46,Cold Storages,Akola,M/S Javed Wharehouse,Mouza - Sisa,,,983.0
47,Cold Storages,Akola,M/S K V Goenka (Kapil Vinod),"M-234, MIDC - IV- AGC, Akola",,,2850.0
48,Cold Storages,Akola,M/S Kaushal Warehouse,Manora,,,836.0
49,Cold Storages,Akola,M/S Kothari VKS Sanstha,Kothari,,,108.0
50,Cold Storages,Akola,"M/S Krishi Utpanna Bazar Samittee, Karanja",Karanja,,,998.0
51,Cold Storages,Akola,M/S Mahatmaphule Bigarsheti Sah. Patsanstha Ltd.,"At Wadegaon, Tal. Balapur, Dist. Akola",,,985.0
52,Cold Storages,Akola,M/S N P Corporation,Wadali Satwai,,,4247.0
53,Cold Storages,Akola,M/S Naseem Wharehouse,Mouza - Sisa,,,983.0
54,Cold Storages,Akola,"M/S New RAvi Spinning & Mfg.Co.,MIDC,Akola","F-22-24,MIDC-II,Akola",,,3255.12
55,Cold Storages,Akola,"M/S New RAvi Spinning & Mfg.Co.,MIDC,Akola","F-22-24,MIDC-II,Akola",,,2634.16
56,Cold Storages,Akola,M/S New Ravi Spinning & Mfg Co,"Plot No. F-22, 23 & 24, MIDC Phase II, Akola",,,2683.0
57,Cold Storages,Akola,M/S New Ravi Spinning & Mfg Co,"Plot No. F-22, 23 & 24, MIDC Phase II, Akola",,,2711.27
58,Cold Storages,Akola,M/S Nishant Sah.Gramin Pat Puravatha Sanstha,Chohatta,,,1334.0
59,Cold Storages,Akola,M/S Patni Cold Storage & Food Processing Individual Ustries,"Washim Road,A/P-Chandur,Tq & D-Akola",,,1236.64
60,Cold Storages,Akola,M/S Riyaz Wharehouse,Mouza - Sisa,,,983.0
61,Cold Storages,Akola,M/S S V Goyenka (Prop. Smt Shobhadevi Vinaykumar Goyenka),"Plot No. TA-177, MIDC, Akola",,,3060.0
62,Cold Storages,Akola,M/S Shetkari Sahakari Sanstha,Akot,,,1000.0
63,Cold Storages,Akola,M/S Shree Warehouse,Mouza - Kumbhari,,,518.0
64,Cold Storages,Akola,M/S Shri Radhakrishna Warehouse,Kanshivani,,,670.0
65,Cold Storages,Akola,"M/S Solar Individual Usrial Products Corporation,MIDC,Akola","H-24,MIDC,Akola",,,225.0
66,Cold Storages,Akola,M/S Unnati Warehouse,Hiwarkhed,,,972.0
67,Cold Storages,Akola,M/S V.N.Goenka,"M-43,MIDC-IV,AGC,Akola",,,1938.64
68,Cold Storages,Akola,M/S V.N.Goenka ( Shri Vinod Nathamal Goenka),"M-43,Akola Growth Centre,MIDC-IV",,,1720.0
69,Cold Storages,Akola,"M/S V.N.Goenka,MIDC,Akola","M-43,MIDC,Akola",,,1683.0
70,Cold Storages,Akola,M/S Zainab Wharehouse,Mouza - Sisa,,,983.0
71,Cold Storages,Akola,M/S.Bajrang Bhandar Gruh,Manora,,,1114.0
72,Cold Storages,Akola,M/Si. Rushiwat Urban Cooperative Society,Risod,,,1000.0
73,Cold Storages,Akola,Madhav Krishnarao Pathak,Ghusar,,,100.0
74,Cold Storages,Akola,Maharashtra State Warehousing Corporation,"APMC Complex,Tumsar",,,3511.86
75,Cold Storages,Akola,Maharashtra State Warehousing Corporation,"Midc,Plot No.H-105,Ambad",,,1755.93
76,Cold Storages,Akola,Maharashtra State Warehousing Corporation,"Midc,Plot No.E-9,Sinner",,,1755.93
77,Cold Storages,Akola,Maharashtra State Warehousing Corporation,"Gno-1174,RAver",,,1759.38
78,Cold Storages,Akola,Mr Martandrao Mahadeo Deshmukh,"At Post: Ugwa, Dist: Akola",,,124.24
79,Cold Storages,Akola,Mr. Himmatrao Janrao Chikte & 2 Others,"Gno-23,Mz:Pimpri Dikkar,Tq:Akot",,,100.302
80,Cold Storages,Akola,Mr. Manikrao Ramarao Ingle,"Plot No.130,Mz:Umra,Tq:Akot",,,100.302
81,Cold Storages,Akola,Mr. Manohar Dattatray Bochare,"Sno-113/1,Mz:Patur,Dsitrict-Akola",,,306.9
82,Cold Storages,Akola,"Mr. Nandlal Munnalal Ray,A/P-Bordi","Pro.No-377A,A/P-Bordi,Tq:Akot",,,135.452
83,Cold Storages,Akola,Mr. Rajaram Digimbar Bhise,"Plot.638,Mz:Mundgaon,Tq:Akot",,,125.364
84,Cold Storages,Akola,Mugulrao Namdeorao Pagrut,Aliyabad,,,267.0
85,Cold Storages,Akola,Namdev Katkamwar,"Gut No.2,At Deolgaon",,,251.1
86,Cold Storages,Akola,Nandlal H Dahake,Akola,,,100.0
87,Cold Storages,Akola,Narayan Kisan Bopte,Apatapa,,,100.0
88,Cold Storages,Akola,Narendrasing Bishensing Kochar,Shivani,,,205.0
89,Cold Storages,Akola,"Pagrut, Pandhari Bhaurao",Aliyabad,,,200.0
90,Cold Storages,Akola,Pandurang Bhaurao Pagrut,Aliyabad,,,102.0
91,Cold Storages,Akola,Patron Agro Services Pvt. Ltd.,"Gut No.83 (Part), S.No.29/2, Mouje Siloda, Dist. Akola",,,
92,Cold Storages,Akola,Pralhad Shriram Bawner,Jambha,,,100.0
93,Cold Storages,Akola,Purushottam Babarao Wakode,Ghusar,,,100.0
94,Cold Storages,Akola,Purushottam Kisan Pargut,Aliyabad,,,100.0
95,Cold Storages,Akola,Raghunath Ramrao Murumkar,Chachandi,,,100.0
96,Cold Storages,Akola,Rajesh Avchitrao Bele,Ekalara,,,100.0
97,Cold Storages,Akola,Ramdas Gopalrao Kalmegh,Kasli,,,204.0
98,Cold Storages,Akola,Ramdhan Narsing Jadhav,Poha,,,100.0
99,Cold Storages,Akola,Rangrao P Gawande,Borgaon,,,100.0
100,Cold Storages,Akola,Sachin Gajanan Dod,Ramgaon,,,204.0
101,Cold Storages,Akola,Sadashiv Kashiram Rohankar,Naya Andura,,,100.0
102,Cold Storages,Akola,Sanjay Devidas Behere,Ghusar,,,100.0
103,Cold Storages,Akola,Sanjay Vishwanath Dahake,Ghusar,,,100.0
104,Cold Storages,Akola,Sanjeev Krishnaji Joshi,Ugwa,,,100.0
105,Cold Storages,Akola,Santosh Uttamrao Pawade,Guddhi,,,101.0
106,Cold Storages,Akola,Sau Lata Vinodkumar Agrawal,"S No. 79/1, Mouza: Gadegaon, At Po: Telhara, Dist: Akola",,,994.0
107,Cold Storages,Akola,Sau Latika Manoj Mundada,"Gut No. 146, Mouje: Kandi, Tal & Dist: Akola",,,980.47
108,Cold Storages,Akola,Sau Madhumati Niraj Gattani,"Gut No. 146, Mouje: Kandi, Tal & Dist: Akola",,,980.47
109,Cold Storages,Akola,Sau Nirmala Gokuldas Chandak ( Godown A),"Gut No. 9, Mouje: Jogban, Tal: Akot, Dist: Akola",,,994.0
110,Cold Storages,Akola,Sau Nirmala Gokuldas Chandak (Godown B),"Gut No. 9, Mouje: Jogban, Tal: Akot, Dist: Akola",,,994.0
111,Cold Storages,Akola,Sau Pramila Narendra Gupta (Godown A),"Gut No. 73, Mouje: Wadali Satwai, Tal: Akot, Dist: Akola",,,975.21
112,Cold Storages,Akola,Sau Pramila Narendra Gupta (Godown B),"Gut No. 73, Mouje: Wadali Satwai, Tal: Akot, Dist: Akola",,,975.21
113,Cold Storages,Akola,Sau Sangita Prem Rathi,"Gut No. 146, Mouje: Kandi, Tal & Dist: Akola",,,980.47
114,Cold Storages,Akola,Sau Ujwala Nandlal Bharate,"At: Karla, Tal:Twelhara, Dist: Akola",,,100.56
115,Cold Storages,Akola,Sau Usha Anil Agrawal,"Sr No. 79/1, Mouza Gadegaon, At Po: Telhara, Dist: Akola",,,994.0
116,Cold Storages,Akola,Sau Usha Shyamsundar Boob,"Gut No. 146, Mouje: Kandi, Tal & Dist: Akola",,,980.47
117,Cold Storages,Akola,Sau. Pushpatai Pandurang Jadhav,Dhanakwadi,,,100.0
118,Cold Storages,Akola,Sau. Ranjana Sureshrao Sakpal,"Mz.Rahit,Tq. Barshitakli",,,394.965
119,Cold Storages,Akola,Sau. Sudha Dayaram Pagrut,Ghusar,,,100.0
120,Cold Storages,Akola,Sau.Anjali Prashant Thorat & 2 Others,"Sno-1/1,At Manatri,Tq.Telhara",,,101.01
121,Cold Storages,Akola,Sau.Sadhana MAnohar Mahalle,"At Donad,Tq:Barshitakali",,,520.0
122,Cold Storages,Akola,Sh. Dadarao P. Gawande,Sangawa,,,518.0
123,Cold Storages,Akola,Sh. Subhash Bhikoba Tilekar,Palsod,,,534.0
124,Cold Storages,Akola,Sh. Uttamrao Bhagwantrao Kokate,"A/P Karatwadi, Tq. Akot, Akola",,,125.064
125,Cold Storages,Akola,Shaikh Alladin Shaikh Gyasuddin,"At Majalapur, Tal. & Dist. Akola",,,100.0
126,Cold Storages,Akola,Shankar P Pagrut,Aliyabad,,,107.0
127,Cold Storages,Akola,Shankar Tukaram Sonone,Goregaon,,,100.0
128,Cold Storages,Akola,Sharad Madhukarrao Pogrut,Ghusar,,,214.0
129,Cold Storages,Akola,Shri Ajab Saklal Rathod,Poha,,,102.0
130,Cold Storages,Akola,Shri Ajmera Gopal Balaprasad,"S No. 67, At Post: Adgaon (Lasina), Tal: Purna, Dist: Parbhani",,,985.547
131,Cold Storages,Akola,Shri Ajrambar Shantaram Gawande,"Fsno-153,Mz:Sisa,Tq:Akola",,,215.0
132,Cold Storages,Akola,Shri Ananda Motiram Barde,Deolgaon,,,251.1
133,Cold Storages,Akola,Shri Anil Prasad Misal,"Gno-22,Umara,Tq.Akot,Akola",,,100.081
134,Cold Storages,Akola,Shri Ashok Radhakishan Mathariya,Akola,,,103.68
135,Cold Storages,Akola,Shri Ashok Sadashivrao Tade,"Gno-191,At Bordi,Tq.Akot",,,278.42
136,Cold Storages,Akola,Shri Bhagvan Tukaram Misal,Mohari,,,106.0
137,Cold Storages,Akola,Shri Bhimrao Rupchand Bodkhe,"At : Nimbhora, Tal: Telhara, Dist: Akola",,,140.0
138,Cold Storages,Akola,Shri Dadarao Tukaramji Hingankar,"At Kalwadi,Tq.Akot",,,100.357
139,Cold Storages,Akola,Shri Damodar Pandurang Sawake,"At Po: Chikhalgaon, Tal Dist: Akola",,,100.0
140,Cold Storages,Akola,Shri Deepak Kishorji Bohra,"S N0.17/4, Plot No. 132 & 14, Hiwarkhed, Tal: Telhara, Dist: Akola",,,330.0
141,Cold Storages,Akola,Shri Digambar Ajabrao Olambe,"Mouza:Khaparwadi Bk, Tal: Akot, Dist; Akola",,,200.0
142,Cold Storages,Akola,"Shri Dnyaneshwar Kishanrao Sarap,Kanheri Sarap","Gno-696-7,Mz:Kaneri Sarap,Tq:Barsi Takle",,,401.0
143,Cold Storages,Akola,Shri Eaknath Narayan Parnate,"Mz:Nairat,Tq& Dist.Akola",,,105.12
144,Cold Storages,Akola,Shri Eknath Maroti Lokhande,"S No. 42, Mousa: Shiloda, Tal & Dist: Akola",,,1105.82
145,Cold Storages,Akola,Shri Gajanan Wasideorao Sapkal & Shri Wasudevrao Janrao Sapkal,"At: Mirzapur, Tal: Akot, Dist: Akola",,,200.0
146,Cold Storages,Akola,Shri Ganesh Warehousing Corporation (1),"S No. 157/1, Mouje: Kahanpur Trambakpur, Gram Panchayat At Jalgaon Nahate, Al: Akot, Dist: Akola",,,720.0
147,Cold Storages,Akola,Shri Ganesh Warehousing Corporation (2),"S No. 157/1, Mouje: Kahanpur Trambakpur, Gram Panchayat At Jalgaon Nahate, Al: Akot, Dist: Akola",,,811.7
148,Cold Storages,Akola,Shri Ganesh Warehousing Corporation (3),"S No. 157/1, Mouje: Kahanpur Trambakpur, Gram Panchayat At Jalgaon Nahate, Al: Akot, Dist: Akola",,,341.0
149,Cold Storages,Akola,Shri Gopal Narayan Parnate,"Mz:Nairat,Tq & Dist.Akola",,,105.12
150,Cold Storages,Akola,Shri Gopalrao Daulatrao Pagrut And 3 Others,"At Po. Ghusar, Tq. Akola, Dist. Akola",,,107.0
151,Cold Storages,Akola,Shri Haridas P. Thakare & Shri Kailash H. Thakare,"Gno-59,Mz:Madhapuri,Tq:Murtizapur",,,105.12
152,Cold Storages,Akola,Shri Jagannath Narayan Hingankar,"At Kalwadi,Tq.Akot",,,102.06
153,Cold Storages,Akola,"Shri Jayantilal Shamji Hariya,Hariyanagar","S.No.180/1,Hatgaon,Tq:Murtizapur",,,700.0
